,application,style,sales
0,freetime,boho,3401
1,freetime,casual,3983
2,freetime,classic,4812
3,freetime,minimal,1282
4,freetime,night,185
5,freetime,street,3974
6,night,boho,330
7,night,casual,46
8,night,classic,315
9,night,minimal,43
10,night,night,359
11,night,street,359
12,special_occasion,boho,6
13,special_occasion,classic,51
14,special_occasion,minimal,17
15,special_occasion,night,33
16,work,boho,441
17,work,casual,491
18,work,classic,1677
19,work,minimal,1303
20,work,night,14
21,work,street,430
